image,layer,step,token,target_type,target,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
000000000285,28,0,The,object,1,0.5662669332247202,0.6228629307416667,0.769005248419235,0.009925148354936936,0.3747412008281574,0.45101321203666755
000000000285,28,1,image,object,1,0.13755117364177558,0.11360321129688368,0.8509129903865557,0.008113200548788767,0.8757763975155279,0.23775938749687264
000000000285,28,2,shows,object,1,0.2130736245172941,0.10836372159071325,0.7270390446788332,0.011956055834520115,0.7329192546583851,0.3301626587393676
000000000285,28,3,a,object,1,0.22430519688996217,0.14986763756112448,0.8043493523929268,0.009083647663345927,0.7784679089026915,0.3482630249460258
000000000285,28,4,large,object,1,0.44029212682579266,0.16248317933076165,0.9178559336637813,0.002715053180247772,0.6273291925465838,0.5174271052747753
000000000285,28,5,bear,object,1,0.401513530477454,0.25928431354910675,0.8925692139767213,0.005367272417024616,0.6770186335403726,0.5040779511649754
000000000285,28,6,with,object,1,0.26331262990735577,0.18440808530553904,0.6854057843382594,0.015385529932558043,0.5942028985507246,0.3649173052231522
000000000285,28,7,a,object,1,0.17296874184626623,0.1288664525011473,0.7627313886170295,0.011822073869621313,0.8157349896480331,0.28541746196537104
000000000285,28,8,light,object,1,0.35940108053935216,0.11406134072165133,0.9028592894062736,0.0024021571251266922,0.6915113871635611,0.47297933441609546
000000000285,28,9,brown,object,1,0.3671807306370014,0.21362705646480015,0.862896626482836,0.006316507770671249,0.6832298136645962,0.4776586136445302
000000000285,28,10,coat,object,1,0.2318284898520077,0.13790767201267556,0.8935994587662585,0.004084075207752556,0.7971014492753623,0.35919029705963085
000000000285,28,11,and,object,1,0.20108656064101008,0.1496430585460884,0.6427189339504762,0.019182260913170244,0.6790890269151139,0.31029189793951917
000000000285,28,12,dark,object,1,0.323957010783069,0.11710826195439669,0.9137939022312311,0.002559028777143479,0.7349896480331263,0.4497016867676622
000000000285,28,13,brown,object,1,0.3363970652550408,0.17320695956371185,0.8549979831330097,0.0070231646748124005,0.6997929606625258,0.4543728319418076
000000000285,28,14,patches,object,1,0.15304088026552118,0.07527646841315365,0.47662093698725294,0.02817505221323155,0.6873706004140787,0.2503435618726762
000000000285,28,15,",",object,1,0.07645227635658675,0.058138882378765924,0.492008900568208,0.03247057846343874,0.8157349896480331,0.13980203313501657
000000000285,28,16,sitting,object,1,0.10554174409604691,0.0656226883936715,0.8048657420155066,0.0082199180937238,0.8964803312629399,0.1888503258281913
000000000285,28,17,on,object,1,0.23256510439078126,0.1266094958016264,0.7950744867292816,0.007992436974747908,0.7598343685300207,0.35612868418157645
000000000285,28,18,grass,object,1,0.017882769857186634,0.004573536900564006,0.21984223047401352,0.04109905406161467,0.8488612836438924,0.0350276207024727
000000000285,28,19,.,object,1,0.07729170561475665,0.039821911999739064,0.5335853429136197,0.03222190936378204,0.8012422360248447,0.14098346369489909
