image,layer,step,token,target_type,target,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
000000000785,28,0,The,object,2,0.04156650885208174,0.08647315174461585,0.08541086169259557,0.14473684541728649,0.336231884057971,0.07398647451830327
000000000785,28,0,The,object,2_person,0.04156650885208174,0.08647315174461585,0.08541086169259557,0.14473684541728649,0.336231884057971,0.07398647451830327
000000000785,28,0,The,object,1,0.04156650885208174,0.08647315174461585,0.08541086169259557,0.14473684541728649,0.336231884057971,0.07398647451830327
000000000785,28,0,The,object,3,0.05250098139469514,0.09880322509640234,0.0983398092294882,0.11189862328508456,0.336231884057971,0.09082074328176543
000000000785,28,0,The,object,3_second_skis,0.012798402468911682,0.013756627050930928,0.0138001734769366,0.2193078265614917,0.336231884057971,0.024658209566137027
000000000785,28,0,The,object,1_person,0.04156650885208174,0.08647315174461585,0.08541086169259557,0.14473684541728649,0.336231884057971,0.07398647451830327
000000000785,28,0,The,object,3_first_person,0.04156650885208174,0.08647315174461585,0.08541086169259557,0.14473684541728649,0.336231884057971,0.07398647451830327
000000000785,28,1,image,object,2,0.0957960957960958,0.054120736096335366,0.12582727697759527,0.14520906543900647,0.782608695652174,0.17069774279337674
000000000785,28,1,image,object,2_person,0.0957960957960958,0.054120736096335366,0.12582727697759527,0.14520906543900647,0.782608695652174,0.17069774279337674
000000000785,28,1,image,object,1,0.0957960957960958,0.054120736096335366,0.12582727697759527,0.14520906543900647,0.782608695652174,0.17069774279337674
000000000785,28,1,image,object,3,0.09310006708984879,0.0500911319213123,0.1348614269214015,0.1271203376376962,0.782608695652174,0.16640446041027165
000000000785,28,1,image,object,3_second_skis,0.0021009138975454323,0.0,0.01004127394756829,0.2781729834564069,0.782608695652174,0.0041905781833843575
000000000785,28,1,image,object,1_person,0.0957960957960958,0.054120736096335366,0.12582727697759527,0.14520906543900647,0.782608695652174,0.17069774279337674
000000000785,28,1,image,object,3_first_person,0.0957960957960958,0.054120736096335366,0.12582727697759527,0.14520906543900647,0.782608695652174,0.17069774279337674
000000000785,28,2,shows,object,2,0.18715344496294262,0.17132594096517256,0.19692045126706914,0.10472948895905537,0.8492753623188406,0.3067163102055857
000000000785,28,2,shows,object,2_person,0.18715344496294262,0.17132594096517256,0.19692045126706914,0.10472948895905537,0.8492753623188406,0.3067163102055857
000000000785,28,2,shows,object,1,0.18715344496294262,0.17132594096517256,0.19692045126706914,0.10472948895905537,0.8492753623188406,0.3067163102055857
000000000785,28,2,shows,object,3,0.20056145275901394,0.1809028115575445,0.22413604770035192,0.0798050579051093,0.8492753623188406,0.3244921458512064
000000000785,28,2,shows,object,3_second_skis,0.03511921316780865,0.05197982723323513,0.030897551673668512,0.16347732712771018,0.8492753623188406,0.06744926600444429
000000000785,28,2,shows,object,1_person,0.18715344496294262,0.17132594096517256,0.19692045126706914,0.10472948895905537,0.8492753623188406,0.3067163102055857
000000000785,28,2,shows,object,3_first_person,0.18715344496294262,0.17132594096517256,0.19692045126706914,0.10472948895905537,0.8492753623188406,0.3067163102055857
000000000785,28,3,a,object,2,0.04795987557985599,0.017667307887010226,0.075511513345281,0.11165780085731457,0.7130434782608696,0.08987470640655394
000000000785,28,3,a,object,2_person,0.04795987557985599,0.017667307887010226,0.075511513345281,0.11165780085731457,0.7130434782608696,0.08987470640655394
000000000785,28,3,a,object,1,0.04795987557985599,0.017667307887010226,0.075511513345281,0.11165780085731457,0.7130434782608696,0.08987470640655394
000000000785,28,3,a,object,3,0.06732589498175665,0.03688850643762887,0.0963224749397342,0.0769617505806555,0.7130434782608696,0.1230347883473178
000000000785,28,3,a,object,3_second_skis,0.027652220154214306,0.03588005809152262,0.021534682449404756,0.19487048955905145,0.7130434782608696,0.05323977250735107
000000000785,28,3,a,object,1_person,0.04795987557985599,0.017667307887010226,0.075511513345281,0.11165780085731457,0.7130434782608696,0.08987470640655394
